Gene	Clade_0	Clade_1	Clade_2	Clade_3	Clade	Ecotype	Allele	File	HV
ZM00022AB202710_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	cml228	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00042AB208440_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	tzi8	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00040AB213700_P001	Int3452_26	Int3452_26	NA	NA	Int3452_26	p39	1	RAxML_tree_pbNB-ARC/Initial_Clades/Int3452_26.afa	0
ZM00028AB138120_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	il14h	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00031AB140090_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ky21	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00024AB137360_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml277	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00027AB136580_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	hp301	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00024AB137230_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml277	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00036AB139070_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	nc350	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00030AB135360_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ki11	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00042AB139290_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	tzi8	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00033AB142360_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	m162w	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00028AB138150_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	il14h	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00041AB140450_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	tx303	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00034AB144020_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	mo18w	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00022AB136490_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml228	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00001EB135110_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	b73	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00029AB139760_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ki3	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00018AB139480_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	b97	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00037AB135540_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	nc358	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00029AB356700_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ki3	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00020AB447150_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml69	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00029AB460180_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ki3	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00020AB449600_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml69	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00020AB283840_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml69	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00020AB346270_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml69	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00021AB135990_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml103	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00038AB137860_P001	Int3480_75	Int3480_75_130_R_1	NA	NA	Int3480_75_130_R_1	oh7b	1	NA	0
ZM00032AB139050_P001	Int3480_75	Int3480_75_52_R_1	NA	NA	Int3480_75_52_R_1	m37w	1	NA	0
ZM00040AB144610_P001	Int3480_75	Int3480_75_131_R_1	NA	NA	Int3480_75_131_R_1	p39	1	NA	0
ZM00026AB135470_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml333	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00023AB138760_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml247	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00031AB140020_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ky21	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00032AB139060_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	m37w	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00025AB139800_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml322	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00035AB139440_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ms71	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00040AB144590_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	p39	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00038AB137840_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	oh7b	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00035AB139460_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ms71	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00025AB139750_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml322	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00040AB144570_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	p39	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00035AB139480_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ms71	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00035AB139490_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ms71	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00033AB142330_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	m162w	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00030AB135340_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ki11	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00028AB138140_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	il14h	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00036AB139050_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	nc350	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00042AB139280_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	tzi8	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00040AB144580_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	p39	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00041AB140430_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	tx303	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00026AB135540_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml333	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00026AB135500_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml333	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00034AB143990_P001	Int3480_75	Int3480_75_124_R_2	NA	NA	Int3480_75_124_R_2	mo18w	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_124_R_2.afa	0
ZM00037AB135500_P001	Int3480_75	Int3480_75_124_R_2	NA	NA	Int3480_75_124_R_2	nc358	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_124_R_2.afa	0
ZM00020AB037470_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml69	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00019AB129050_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml52	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00020AB136260_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml69	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00019AB129030_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml52	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00024AB137160_P001	Int3480_75	Int3480_75_48_R_1	NA	NA	Int3480_75_48_R_1	cml277	1	NA	0
ZM00028AB138100_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	il14h	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00041AB322720_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	tx303	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00034AB143940_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	mo18w	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00037AB135470_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	nc358	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00029AB139710_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ki3	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00025AB139760_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml322	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00027AB136550_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	hp301	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00024AB137170_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml277	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00020AB136220_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml69	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00026AB135560_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml333	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00020AB136310_P001	Int3480_75	Int3480_75_13_R_1	NA	NA	Int3480_75_13_R_1	cml69	1	NA	0
ZM00035AB139580_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ms71	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00040AB144660_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	p39	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00038AB137890_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	oh7b	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00040AB144500_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	p39	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00035AB139410_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	ms71	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00032AB139070_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	m37w	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00023AB138800_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml247	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00024AB137300_P001	Int3480_75	Int3480_75_130_L_68	Int3480_75_130_L_68	NA	Int3480_75_130_L_68	cml277	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3480_75_130_L_68.afa	1
ZM00039AB199940_P001	Int3554_24	Int3554_24_42_R_6	Int3554_24_42_R_6	NA	Int3554_24_42_R_6	oh43	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_R_6.afa	0
ZM00025AB203360_P001	Int3554_24	Int3554_24_42_R_6	Int3554_24_42_R_6	NA	Int3554_24_42_R_6	cml322	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_R_6.afa	0
ZM00030AB197120_P001	Int3554_24	Int3554_24_42_R_6	Int3554_24_42_R_6	NA	Int3554_24_42_R_6	ki11	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_R_6.afa	0
ZM00023AB201420_P001	Int3554_24	Int3554_24_42_R_6	Int3554_24_42_R_6	NA	Int3554_24_42_R_6	cml247	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_R_6.afa	0
ZM00042AB204110_P001	Int3554_24	Int3554_24_42_R_6	Int3554_24_42_R_6	NA	Int3554_24_42_R_6	tzi8	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_R_6.afa	0
ZM00033AB207970_P001	Int3554_24	Int3554_24_42_R_6	Int3554_24_42_R_6	NA	Int3554_24_42_R_6	m162w	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_R_6.afa	0
ZM00028AB201520_P001	Int3554_24	Int3554_24_42_L_18	Int3554_24_42_L_18	NA	Int3554_24_42_L_18	il14h	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_L_18.afa	0
ZM00031AB203670_P001	Int3554_24	Int3554_24_42_L_18	Int3554_24_42_L_18	NA	Int3554_24_42_L_18	ky21	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_L_18.afa	0
ZM00024AB199100_P001	Int3554_24	Int3554_24_42_L_18	Int3554_24_42_L_18	NA	Int3554_24_42_L_18	cml277	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_L_18.afa	0
ZM00038AB198890_P001	Int3554_24	Int3554_24_42_L_18	Int3554_24_42_L_18	NA	Int3554_24_42_L_18	oh7b	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_L_18.afa	0
ZM00029AB202680_P001	Int3554_24	Int3554_24_42_L_18	Int3554_24_42_L_18	NA	Int3554_24_42_L_18	ki3	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_L_18.afa	0
ZM00019AB185710_P001	Int3554_24	Int3554_24_42_L_18	Int3554_24_42_L_18	NA	Int3554_24_42_L_18	cml52	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_L_18.afa	0
ZM00030AB197080_P001	Int3554_24	Int3554_24_42_L_18	Int3554_24_42_L_18	NA	Int3554_24_42_L_18	ki11	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_L_18.afa	0
ZM00018AB203480_P001	Int3554_24	Int3554_24_42_L_18	Int3554_24_42_L_18	NA	Int3554_24_42_L_18	b97	1	RAxML_tree_pbNB-ARC/Clade_Refinement_1/Int3554_24_42_L_18.afa	0
