parent	node	branch.length	label	bootstrap	N_tips	mrca_id
3443	3444	0.7546806700022268	Int4084	99	191	ZM00037AB115030_P001/390-545|ZM00042AB427440_P001/159-348
3634	3635	0.5388118992559954	Int4275	100	26	ZM00037AB322870_P001/172-506|ZM00033AB338110_P001/172-506
3634	3660	0.5984701701543989	Int4300	100	27	ZM00027AB413710_P001/394-731|ZM00018AB427290_P001/385-722
3689	3690	0.20416710126537074	Int4330	96	29	ZM00024AB200750_P001/175-508|ZM00032AB169770_P001/4-181
3689	3718	0.8567827262880847	Int4358	99	19	ZM00039AB115870_P001/203-499|ZM00035AB118220_P001/198-498
3738	3739	0.640769465278905	Int4379	100	35	ZM00034AB117300_P001/171-301|ZM00018AB113410_P001/171-515
3738	3773	0.3486304728714709	Int4413	98	18	ZM00031AB117820_P001/167-308|ZM00040AB121130_P001/175-350
3791	3792	0.7241388648671533	Int4432	100	15	ZM00039AB428770_P001/39-250|ZM00018AB440150_P001/237-533
3791	3806	0.656813234102818	Int4446	100	26	ZM00030AB131400_P001/168-497|ZM00040AB140030_P001/168-497
3831	3832	0.36006833316660103	Int4472	96	18	ZM00027AB327100_P001/22-191|ZM00028AB330930_P001/3-124
3831	3849	0.41546209280662677	Int4489	100	28	ZM00041AB205110_P001/179-490|ZM00040AB210060_P001/179-403
3877	3878	0.06607542028195401	Int4518	48	30	ZM00040AB094300_P001/4-131|ZM00031AB116740_P001/176-511
3907	3908	0.46575814141344385	Int4548	91	15	ZM00024AB177610_P001/174-521|ZM00039AB176610_P001/199-528
3923	3924	0.2434020635516821	Int4564	100	53	ZM00026AB113450_P001/167-505|ZM00027AB114550_P001/167-505
3923	3976	0.4114429864547004	Int4616	100	18	ZM00035AB117110_P001/209-478|ZM00038AB116330_P001/123-356
3994	3995	0.31030891114195586	Int4635	100	38	ZM00038AB423510_P001/101-210|ZM00019AB424880_P001/167-501
4033	4034	0.07197756286950736	Int4674	79	114	ZM00035AB435850_P001/170-503|ZM00035AB121040_P001/194-503
4033	4147	0.45488386456580326	Int4787	100	130	ZM00037AB409290_P001/196-499|ZM00038AB381020_P001/198-502
4032	4276	0.5945146422607782	Int4916	100	25	ZM00020AB426140_P001/965-1087|ZM00030AB283850_P001/998-1290
4300	4301	0.08069999710870526	Int4941	97	37	ZM00039AB043460_P001/167-484|ZM00037AB199250_P001/174-447
4300	4337	0.4505626809443836	Int4977	100	21	ZM00034AB303230_P001/74-413|ZM00030AB283850_P001/167-508
4357	4358	0.3185315488454059	Int4998	100	20	ZM00024AB257910_P001/172-504|ZM00028AB261160_P001/172-504
4357	4377	0.3076296032690927	Int5017	98	19	ZM00035AB141310_P001/176-512|ZM00040AB146600_P001/176-512
4397	4398	0.2859220952272387	Int5038	97	24	ZM00024AB167670_P001/36-294|ZM00039AB166770_P001/1222-1495
4397	4421	0.14744245872287737	Int5061	87	32	ZM00024AB200770_P001/166-494|ZM00018AB170400_P001/193-376
4452	4453	1.161847645525368	Int5093	100	25	ZM00024AB346590_P001/89-194|ZM00026AB342550_P001/300-404
4477	4478	0.3741436353245556	Int5118	100	31	ZM00036AB418360_P001/613-815|ZM00041AB423100_P001/613-815
4508	4509	0.3635232566200378	Int5149	100	24	ZM00001EB355100_P001/408-674|ZM00028AB364720_P001/478-744
4508	4532	0.8101160939623986	Int5172	100	21	ZM00040AB443810_P001/733-896|ZM00029AB435680_P001/732-895
4552	4553	0.4447346768644639	Int5193	100	21	ZM00020AB115600_P001/32-142|ZM00027AB115680_P001/202-573
4573	4574	0.475300999770811	Int5214	100	24	ZM00019AB405910_P001/198-572|ZM00021AB427490_P001/198-570
4573	4597	0.20525018465578715	Int5237	100	22	ZM00024AB429210_P001/144-418|ZM00033AB300460_P001/195-558
3686	4618	1.6177196729019254	Int5258	100	27	ZM00023AB154650_P001/135-252|ZM00025AB156180_P001/265-381
4839	4840	0.511205994647719	Int5286	100	45	ZM00027AB266350_P001/180-515|ZM00028AB269230_P001/180-515
4884	4885	0.5240915227181979	Int5331	100	26	ZM00027AB024110_P001/171-509|ZM00023AB024970_P001/171-509
4910	4911	0.40992864618360364	Int5357	98	25	ZM00030AB414370_P001/177-514|ZM00032AB429310_P001/177-514
4935	4936	0.11107323705815293	Int5382	100	27	ZM00041AB235970_P001/174-511|ZM00023AB232900_P001/174-511
4962	4963	0.14348960072744765	Int5409	100	25	ZM00027AB230770_P001/173-511|ZM00029AB234780_P001/173-511
4962	4987	0.11320053844790068	Int5433	100	53	ZM00020AB229400_P001/1-114|ZM00028AB232960_P001/174-513
4838	5039	0.1510077733974774	Int5485	38	149	ZM00019AB111780_P001/187-481|ZM00027AB204330_P001/192-403
5189	5190	0.9066533880828886	Int5636	100	26	ZM00025AB011690_P001/177-492|ZM00036AB011530_P001/177-492
5215	5216	0.8148876685539095	Int5662	100	25	ZM00040AB082590_P001/160-487|ZM00038AB079430_P001/160-487
5215	5240	0.7194211726575899	Int5686	100	26	ZM00036AB154990_P001/153-477|ZM00041AB157170_P001/62-201
5188	5265	1.6265152100074185	Int5711	100	52	ZM00023AB138640_P001/217-542|ZM00042AB139150_P001/211-536
5316	5317	0.1795610707567232	Int5763	18	50	ZM00022AB202090_P001/478-642|ZM00041AB118800_P001/200-486
5316	5366	1.3069507357587982	Int5812	100	24	ZM00026AB151530_P001/39-341|ZM00031AB155980_P001/39-341
5390	6673	1.0525226155854501	Int5835	100	26	ZM00031AB156000_P001/140-268|ZM00026AB151550_P001/140-268
6545	6546	0.7708534626519234	Int5861	100	25	ZM00024AB037970_P001/189-516|ZM00028AB037920_P001/193-522
6570	6571	2.2927340330924055	Int5886	100	54	ZM00026AB327990_P001/89-244|ZM00021AB208550_P001/169-474
6570	6624	0.25970054299664275	Int5939	90	50	ZM00036AB169300_P001/201-514|ZM00023AB168930_P001/199-302
6244	6245	0.4395266905628314	Int5989	100	24	ZM00022AB296390_P001/6-177|ZM00028AB299270_P001/192-413
6244	6268	1.005063864269382	Int6012	100	25	ZM00028AB044940_P001/168-499|ZM00026AB043750_P001/168-499
5462	5463	0.9048864332195486	Int6039	100	47	ZM00027AB139300_P001/198-405|ZM00041AB143170_P001/138-339
5462	5509	0.12760702760175802	Int6085	67	245	ZM00035AB234090_P001/300-419|ZM00021AB227120_P001/255-373
5461	5753	0.022236609460310294	Int6329	22	131	ZM00036AB417390_P001/240-557|ZM00021AB341230_P001/57-178
5883	5884	0.526163396670858	Int6460	100	26	ZM00041AB228840_P001/190-301|ZM00024AB223310_P001/194-416
5910	5911	0.9403180928595805	Int6487	99	25	ZM00001EB138420_P001/229-553|ZM00028AB141580_P001/230-554
5935	5936	0.5060375756175287	Int6512	100	26	ZM00001EB349330_P001/183-498|ZM00032AB365300_P001/183-498
5935	5961	0.5770321867584182	Int6537	100	30	ZM00026AB352780_P001/200-507|ZM00019AB337010_P001/200-507
5991	5992	0.46300621785660656	Int6568	100	81	ZM00019AB155370_P001/15-156|ZM00031AB171230_P001/149-459
5991	6072	0.5235546808872238	Int6648	100	150	ZM00018AB424930_P001/214-521|ZM00026AB408050_P001/213-519
5990	6221	0.5970881807674107	Int6797	100	24	ZM00021AB383260_P001/1-278|ZM00025AB390970_P001/211-530
5418	5419	0.7044312406739955	Int6821	100	24	ZM00028AB015840_P001/186-500|ZM00027AB015740_P001/186-500
5418	5442	1.0393796618587738	Int6844	100	19	ZM00028AB312350_P001/464-762|ZM00042AB469390_P001/361-659
